B52,40.687942,-73.935596,2015-12-30T18:59:43.000,4523,FP_W5-Weekday-110400_B52_113,2015-12-30,B520040,307682,249.04,5826.46,< 1 stop away
BX21,40.84013,-73.843306,2015-12-30T18:59:57.033,7706,WF_W5-Weekday-114000_BX36_147,2015-12-30,BX210044,103907,753.3,835.71,< 1 stop away
B35,40.651671,-73.931803,2015-12-30T18:59:52.429,331,JG_W5-Weekday-107900_B35_67,2015-12-30,B350146,302715,103.53,7949.87,approaching
S57,40.58694,-74.135055,2015-12-30T19:00:03.883,4057,YU_E5-Weekday-111500_S57_4,2015-12-30,S570158,201369,695.85,10101.38,< 1 stop away
Q27,40.72895,-73.743777,2015-12-30T18:59:56.000,8039,QV_W5-Weekday-110000_MISC_283,2015-12-30,Q270823,500055,46.13,4493.41,approaching
Q58,40.743126,-73.854844,2015-12-30T18:59:58.000,3969,FP_W5-Weekday-111200_Q58_266,2015-12-30,Q58C0060,503511,105.19,4082.99,approaching
M2,40.760576,-73.975714,2015-12-30T18:59:39.000,6400,MV_W5-Weekday-102900_M2_135,2015-12-30,M020174,450123,219.02,11168.66,< 1 stop away
B37,40.642139,-74.020652,2015-12-30T18:59:49.000,399,JG_W5-Weekday-112000_B37_314,2015-12-30,B370038,308749,110.6,6066.7,approaching
M15,40.725585,-73.989866,2015-12-30T18:59:58.000,1011,OH_W5-Weekday-106600_M15_34,2015-12-30,M150372,401786,32.73,9980.17,approaching
B68,40.577447,-73.981609,2015-12-30T18:59:58.584,7570,JG_W5-Weekday-113900_B68_134,2015-12-30,B680018,308300,234.44,293.83,< 1 stop away
X17A,40.607434,-74.162453,2015-12-30T18:59:43.000,2561,CH_E5-Weekday-110100_MISC_854,2015-12-30,X17A0017,200444,45.76,27151.11,approaching
M5,40.76057,-73.979939,2015-12-30T19:00:00.000,3953,MV_W5-Weekday-107000_M5_244,2015-12-30,M050311,404992,492.73,7827.94,< 1 stop away
M86+,40.776725,-73.949016,2015-12-30T19:00:00.000,5831,OH_W5-Weekday-112400_SBS86_326,2015-12-30,SBS860022,401909,237.7,3577.23,< 1 stop away
BX39,40.893363,-73.857386,2015-12-30T18:59:45.203,5741,GH_W5-Weekday-112700_BX39_30,2015-12-30,BX390104,102783,150.48,1448.29,approaching
B20,40.664851,-73.863261,2015-12-30T18:59:39.000,7260,FP_W5-Weekday-106200_B20_16,2015-12-30,B200058,901067,25.8,11739.09,at stop
Q20A,40.766792,-73.827382,2015-12-30T18:59:49.139,7404,CS_W5-Weekday-111800_Q20_26,2015-12-30,Q20A0044,501140,153.67,4190.41,< 1 stop away
B44,40.633082,-73.947674,2015-12-30T18:59:57.000,4234,FB_W5-Weekday-112100_B44_30,2015-12-30,B44C0225,303381,136.83,3744.38,approaching
Q77,40.667055,-73.75724,2015-12-30T18:59:53.000,4968,JA_W5-Weekday-114000_MISC_537,2015-12-30,Q770467,500687,11.41,455.36,at stop
Q32,40.74929,-73.990573,2015-12-30T18:59:59.181,7369,CS_W5-Weekday-113600_Q32_16,2015-12-30,Q320097,403539,194.87,233.84,< 1 stop away
B41,40.695365,-73.990847,2015-12-30T18:59:41.000,5057,FB_W5-Weekday-107800_B41_49,2015-12-30,B410310,901007,3.08,12378.61,at stop
B60,40.688473,-73.906666,2015-12-30T18:59:56.000,7224,GA_W5-Weekday-110300_Q59_912,2015-12-30,B600131,305054,119.01,5816.88,approaching
S53,40.603716,-74.083496,2015-12-30T18:59:45.212,7078,CA_E5-Weekday-111800_MISC_459,2015-12-30,S530120,203507,4.0,7947.77,at stop
BX36,40.848128,-73.937012,2015-12-30T18:59:55.873,7682,WF_W5-Weekday-113800_BX36_163,2015-12-30,BX360214,400799,7.01,379.11,at stop
BX32,40.82403,-73.91931,2015-12-30T19:00:03.607,7735,WF_W5-Weekday-109800_BX32_10,2015-12-30,BX320028,102170,5.96,6799.05,at stop
B64,40.617614,-74.010227,2015-12-30T18:59:53.000,7166,UP_W5-Weekday-111500_B64_515,2015-12-30,B640074,300092,212.67,4650.73,< 1 stop away
B38,40.691356,-73.987093,2015-12-30T18:59:51.000,3976,FP_W5-Weekday-109400_B38_120,2015-12-30,B380100,302433,7.89,8097.5,at stop
BX17,40.82873,-73.897859,2015-12-30T18:59:59.000,4976,WF_W5-Weekday-109600_BX17_125,2015-12-30,BX170009,101249,140.44,4700.57,approaching
B61,40.683224,-74.003571,2015-12-30T18:59:58.000,240,JG_W5-Weekday-112200_B61_14,2015-12-30,B610107,305226,53.19,2401.52,approaching
Q56,40.705598,-73.794544,2015-12-30T18:59:40.000,7094,EN_W5-Weekday-112200_Q56_516,2015-12-30,Q560039,504535,18.52,475.65,at stop
BX7,40.903895,-73.905104,2015-12-30T18:59:38.000,4548,KB_W5-Weekday-105900_BX7_31,2015-12-30,BX070116,100463,50.32,8616.88,approaching
Q58,40.737634,-73.877223,2015-12-30T18:59:52.000,6517,FP_W5-Weekday-109000_Q58_247,2015-12-30,Q58C0061,503018,64.39,6578.53,approaching
B63,40.689821,-73.992842,2015-12-30T18:59:42.000,462,JG_W5-Weekday-113700_B63_130,2015-12-30,B630128,305112,60.89,771.42,approaching
Q17,40.759811,-73.830255,2015-12-30T19:00:04.000,4918,JA_W5-Weekday-113200_MISC_536,2015-12-30,Q170222,501368,16.09,361.42,at stop
BX21,40.84376,-73.869955,2015-12-30T18:59:51.633,7723,WF_W5-Weekday-108800_BX21_34,2015-12-30,BX210047,103052,252.45,6825.48,< 1 stop away
S79+,40.544844,-74.165554,2015-12-30T18:59:59.000,4263,YU_E5-Weekday-109800_SBS79_17,2015-12-30,SBS790073,200382,922.21,19266.9,0.6 miles away
